2026-02-05T10:11:44.878997 | 109.175.38.118 | admin | ACCESS_GRANTED | Accessed /list | SUCCESS
2026-02-05T10:12:27.308733 | 109.175.38.118 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-05T13:30:59.389092 | 185.186.250.125 | admin | LOGIN_ATTEMPT |  | SUCCESS
2026-02-05T13:30:59.926898 | 185.186.250.125 | admin | LOGIN_SUCCESS | Role: admin | SUCCESS
2026-02-05T13:30:59.951024 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-05T13:31:06.699474 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed /list | SUCCESS
2026-02-05T13:31:20.893562 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-05T13:31:23.075242 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed /view-logs | SUCCESS
2026-02-05T13:38:42.379608 | 185.186.250.125 | ANONYMOUS | ACCESS_DENIED | Tried to access / | DENIED
2026-02-05T13:38:42.421030 | 185.186.250.125 | ANONYMOUS | LOGIN_PAGE_VIEW |  | SUCCESS
2026-02-05T13:38:52.053158 | 185.186.250.125 | admin | LOGIN_ATTEMPT |  | SUCCESS
2026-02-05T13:38:52.599906 | 185.186.250.125 | admin | LOGIN_SUCCESS | Role: admin | SUCCESS
2026-02-05T13:38:52.651179 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-05T13:41:19.592179 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed /list | SUCCESS
2026-02-05T13:41:41.935737 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-05T13:41:44.042567 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-05T13:41:47.980417 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed /refresh | SUCCESS
2026-02-05T13:41:48.014481 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-05T13:45:53.642670 | 185.186.250.125 | ANONYMOUS | ACCESS_DENIED | Tried to access / | DENIED
